Question,Option_1,Option_2,Option_3,Option_4,RC,year
62. Presenta colágeno de tipo I el cartílago:,1. Hialino.,2. Elástico.,3. Fibroso.,4. Todos los tipos de cartílagos.,3,2018
63. Las lagunas de Howship:,1. Contienen condrocitos en degeneración.,2. Albergan osteocitos.,3. Albergan células de revestimiento óseo.,4. Se forman por acción de los osteoclastos,4,2018
"64. Los miocitos cardíacos, a diferencia de otras células musculares, presentan:",1. Un solo núcleo.,2. Discos intercalares.,3. Una lámina externa que les rodea.,4. Miofilamentos organizados en sarcómeros.,2,2018
65. Las neuronas sensoriales de los ganglios espinales o raquídeos son:,1. Pseudounipolares.,2. Bipolares.,3. Multipolares.,4. Unipolares.,1,2018
66. En los nervios periféricos:,1. El endoneuro está formado por conjuntivo fibrilar denso.,2. El perineuro rodea a cada fibra nerviosa.,3. El epineuro rodea a cada fascículo de fibras nerviosas.,4. El perineuro actúa como una barrera hematoneural.,4,2018
67. La matriz extracelular de la túnica media arterial:,1. Se sintetiza por miocitos lisos.,2. Contiene mayoritariamente colágeno en las grandes arterias.,3. Contiene principalmente láminas elásticas en las arterias de calibre medio.,4. Solo existe en la capa adventicia.,1,2018
68. La pulpa blanca:,"1. Está en timo, ganglios linfáticos y bazo.",2. Corresponde al componente linfoide del bazo.,3. Está formada por cordones esplénicos (de Billroth) y sinusoides.,4. Forma los cordones medulares de los ganglios linfáticos.,2,2018
69. Las glándulas de Brunner son abundantes en:,1. Duodeno.,2. Yeyuno e íleon.,3. Todo el intestino delgado.,4. Intestino grueso.,1,2018
70. Gracias al sistema porta hipofisario:,1. Las hormonas sintetizadas por la adenohipófisis llegan a la circulación sistémica.,2. Las hormonas hipofisarias regulan la actividad hipotalámica.,3. Los factores reguladores hipotalámicos alcanzan la pars distalis hipofisaria.,4. La oxitocina y la ADH llegan a la neurohipófisis.,3,2018
71. En el sistema reproductor hay fuertes uniones ocluyentes entre:,1. Células de la granulosa del folículo ovárico.,2. El ovocito y la corona radiada.,3. Células de la teca interna del folículo ovárico.,4. Células de Sertoli de los túbulos seminíferos.,4,2018
72. Secreta gonadotropina coriónica humana:,1. Cuerpo lúteo.,2. Citotrofoblasto.,3. Sincitiotrofoblasto.,4. Decidua parietal.,3,2018
73. La expresión de SRY y SOX9 median la diferenciación:,1. Ovárica.,2. Testicular.,3. Renal.,4. Vesical.,2,2018
74. La mayor sensibilidad a teratógenos durante el desarrollo intraútero es:,1. En fase de mórula.,2. En fase de implantación.,3. Entre la 3ª y 8ª semana de gestación.,4. A partir de la 37ª semana de gestación.,3,2018
75. La hemoglobina fetal:,1. Posee 2 globinas alfa y 2 gamma.,2. Posee 2 globinas alfa y 2 épsilon.,3. Se sintetiza en el saco vitelino.,4. Tiene menor afinidad por O2 que la adulta.,1,2018
76. Son células efectoras en las reacciones alérgicas:,1. Monocitos.,2. Basófilos.,3. Células dendríticas.,4. Neutrófilos.,2,2018
77. La hemoglobinuria paroxística nocturna se produce por mutaciones en el gen que codifica:,1. C1 inhibidor.,2. C2.,3. PIG-A (Phosphatidyl Inositol Glycan complementation group A).,4. MBL (Mannose-Binding Lectin).,3,2018
78. ¿Cuál de los siguientes mediadores liberados por mastocitos activados NO está preformado en sus gránulos?:,1. Histamina.,2. Factor activador de plaquetas (PAF).,3. Leucotrienos.,4. IL-6.,0,2018
79. ¿Qué células del sistema inmunitario innato NO tienen origen mieloide?,1. Células NK.,2. Mastocitos.,3. Neutrófilos.,4. Células dendríticas.,1,2018
80. Los linfocitos B humanos circulantes expresan en su membrana:,1. IgM e IgD.,2. IgG e IgD.,3. IgG e IgM.,4. IgM e IgA.,1,2018
81. En humanos las moléculas MHC están presentes en:,1. Todas las células.,2. Todas las células (MHC I) y solo en células presentadoras de antígeno (MHC II).,3. Todas las células salvo los hematíes (MHC I) y solo en células presentadoras de antígeno (MHC II).,4. Todas las células (MHC II) y sólo en células presentadoras de antígeno (MHC I).,3,2018
"82. En ausencia de infección, las células presentadoras que presentan antígenos propios inducen:",1. Anergia clonal de los linfocitos T autoreactivos.,2. Proliferación de los linfocitos T autoreactivos.,3. Activación de las células presentadoras.,4. Activación de los linfocitos T autoreactivos.,1,2018
83. El complemento se sintetiza fundamentalmente en:,1. Los linfocitos B.,2. Los mastocitos.,3. Los linfocitos T.,4. El hígado.,4,2018
"84. Durante la respuesta inmunitaria primaria, se produce fundamentalmente:",1. IgM.,2. IgA.,3. IgE.,4. IgG.,1,2018
85. Las células T vírgenes necesitan para una activación adecuada la unión TCR-péptido-MHC y una señal a través de:,1. CD28 por B7.1/B7.2.,2. LFA-1 por ICAM-1.,3. CD4 por MHC I.,4. CD8 por MHC II.,1,2018
86. El interferón beta:,1. Tiene actividad antiviral.,2. Tiene actividad citotóxica.,3. Induce fiebre.,4. Induce proteínas de fase aguda.,1,2018
87. El mecanismo de evasión de la respuesta inmunitaria realizado por los virus ARN que justifica la necesidad de vacunación anual es:,1. La inhibición de la expresión de las moléculas MHC para evitar la presentación a los linfocitos T.,2. La inhibición del procesamiento antigénico por bloqueo de los transportadores TAP.,3. La variación antigénica.,4. La estimulación de la síntesis de citocinas inmunosupresoras.,3,2018
88. Es un marcador común a todos los linfocitos T:,1. CD19.,2. CD8.,3. CD4.,4. CD3.,4,2018
89. La hipermutación somática es un proceso que afecta a:,1. Receptores de las células T.,2. Células presentadores de antígenos.,3. Regiones variables de las inmunoglobulinas.,4. Receptores de reconocimiento de patógenos.,3,2018
90. ¿Cuál de los siguientes perfiles de producción de citocinas es característico de las células Th2?:,"1. IL-2, IFN-gamma.","2. IFN-alfa, IFN-beta, IFN-gamma.","3. IL-4, IL-5, IL-13.","4. IL-2, IL-10, IFN-beta.",3,2018
91. ¿Cómo se denomina a los antígenos que no son inmunógenos?:,1. Determinantes antigénicos.,2. Haptenos.,3. Epítopos.,4. Idiotipos.,2,2018
92. ¿Qué moléculas intervienen en la formación del complejo de ataque a membrana?:,"1. C5, C6, C7, C8 y C9.","2. Factor A, Factor B, Factor C y Properdina.","3. C1, C2, C4.","4. Factor B, C5, C1.",1,2018
93. ¿Cuál es el mecanismo por el que se genera la diversidad necesaria para conseguir anticuerpos de mayor afinidad?:,1. Exclusión alélica.,2. Hipermutación somática.,3. Recombinación somática,4. Reordenamiento genético.,2,2018
94. Un paciente sufre espondilitis anquilosante ¿Qué marcadores HLA será más probable que presente?:,1. Cw6.,2. DQ2 y DQ8.,3. B27.,4. DR2.,3,2018
95. ¿De qué molécula quimiotáctica lipídica depende la salida de los linfocitos T de los ganglios linfáticos?:,1. Molécula de adhesión celular portadora de glicano 1(GlyCam-1).,2. Molécula de adhesión celular vascular (VCAM-1).,3. Antígeno asociado a la función del leucocito (LFA-1).,4. Esfingosina 1-fostato (S1P).,4,2018
96. ¿Cuál es la función del TAP?:,1. Digestión de antígenos virales a pequeños péptidos en el proteosoma.,2. Transporte de péptidos antigénicos al retículo endoplásmico.,3. Transporte de las moléculas HLA-I al retículo endoplásmico.,4. Transporte de beta 2-microglobulina al retículo endoplásmico para ser combinado con moléculas HLA-I.,2,2018
97. ¿Cuál de las siguientes técnicas utilizaría para la cuantificación de anticuerpos?:,1. ELISA.,2. Western Blot.,3. Inmunohistoquímica.,4. Citometría de flujo.,1,2018
98. La selección negativa de los linfocitos T tiene lugar en:,1. Vasos sanguíneos.,2. Médula ósea.,3. Timo.,4. Ganglio linfático.,3,2018
99. El factor de transcripción nuclear Foxp3 se expresa en:,1. Linfocitos B.,2. Linfocitos Th2.,3. Linfocitos Treg.,4. Timocitos CD4+CD8+.,3,2018
100. Se expresa en la superficie de los linfocitos CD4+:,1. CD3.,2. CD8.,3. CD19.,4. Receptor del linfocito B.,1,2018
"101. El efecto anti-tumoral de los anticuerpos monoclonales anti-CTLA-4, anti-PD1 y anti-PD-L1 se basa en:",1. Inhibición de la autotolerancia de los linfocitos T.,2. Bloqueo del  EGFR en la superficie de la célula tumoral.,3. Bloqueo del IL-2R.,4. Bloqueo de la angiogénesis en el tumor.,1,2018
102. ¿A qué se debe el rechazo hiperagudo del órgano trasplantado?:,1. Al reconocimiento de células del donante mediante los receptores KAR de los linfocitos NK.,2. A la existencia de linfocitos T vírgenes específicos contra el HLA del donante.,3. A la existencia de linfocitos T memoria específicos contra el HLA del donante.,4. A la existencia de anticuerpos preformados frente a las células del donante.,4,2018
103. ¿Para qué se utiliza el test de dilución de CFSE (Carboxyfluorescein Diacetate Succinimidyl Ester)?:,1. Estudio de la fagocitosis.,2. Estudio de la proliferación de los linfocitos T.,3. Valoración de la presencia de bandas monoclonales de IgG en líquido cefalorraquídeo.,4. Diagnóstico de linfoma policlonal de células T.,2,2018
104. ¿En qué gen esperarías encontrar una mutación en un paciente de 11 meses con infecciones graves desde el nacimiento y con ausencia de linfocitos T en sangre periférica?:,1. CD40L.,2. Btk.,3. IL-2R gamma.,4. ICOS.,3,2018
105. ¿A qué tipo de hipersensibilidad corresponden las reacciones causadas por el depósito de inmunocomplejos?:,1. I.,2. II.,3. III.,4. IV.,3,2018
106. Se toma una muestra aleatoria de 15 personas. Se pesan antes y al mes de iniciar cierta dieta ¿Qué test utilizaríamos para probar la hipótesis de que la dieta es efectiva?:,1. Wilcoxon.,2. Cocharan.,3. Chi-cuadrado.,4. U de Mann-Whitney.,1,2018
107. El error de tipo I es:,1. El error tipo beta.,2. La probabilidad de aceptar la hipótesis alternativa cuando es falsa.,3. La probabilidad de rechazar la hipótesis alternativa cuando es cierta.,4. La probabilidad de aceptar la hipótesis nula cuando es falsa.,2,2018
108. Se suministran analgésicos independientemente a pacientes comparables midiéndose el tiempo desde la inyección hasta la desaparición del dolor. Si los datos no se ajustan a una función normal ¿Qué test utilizaríamos para probar si hay o no diferencia entre ellos?:,1. McNemar.,2. Cochran.,3. t de Student.,4. Kruskal-Wallis.,0,2018
109. El estimador de máxima verosimilitud del parámetro de la distribución de Poisson es:,1. La varianza muestral.,2. La mediana muestral.,3. La media muestral.,4. La desviación estándar.,0,2018
110. ¿Cuál es el tipo de error de muestreo que NO se reduce al aumentar el tamaño muestral?:,1. Aleatorio.,2. Sistemático.,3. Muestral.,4. Tipo II.,2,2018
111. Una prueba diagnóstica tiene una sensibilidad del 95% ¿Qué nos indica este resultado?:,1. El porcentaje de resultados positivos en pacientes que no padecen la enfermedad.,2. El porcentaje de resultados negativos en pacientes que no padecen la enfermedad.,3. La probabilidad de que la prueba identifique como enfermo a aquél que realmente lo está.,4. Que la prueba tendrá un máximo del 5% de falsos positivos.,3,2018
112. La expresión c.954T>G hace referencia a:,1. Una sustitución del nucleótido T en posición954 de la secuencia codificante por una G.,2. Una sustitución del aminoácido T (treonina) en posición 954 de la cadena polipeptídica por un G (glicina).,3. Una inserción del nucleótido G a continuación del nucleótido T en posición 954 de la secuencia codificante.,4. Una sustitución del nucleótido T en posición954 de la secuencia del gen por una G.,1,2018
113. ¿Qué fórmula cromosómica corresponde con el cariotipo de una paciente con síndrome de Turner?:,"1. 45, X.","2. 45, X, -X.","3. 45, XX, -X.","4. 45, XY, -Y.",1,2018
114. Una reacción de PCR multiplex:,1. Se incorporan varios ADN genómicos para amplificarlos simultáneamente.,2. Se incorporan varias parejas de cebadores para amplificar loci distintos simultáneamente.,3. Se multiplican los ciclos.,4. Se incorporan varios ADN genómicos y varias parejas de cebadores para amplificarlos simultáneamente.,2,2018
115. La no-disyunción meiótica origina:,1. Poliploidías.,2. Aneuploidías.,3. Deleciones.,4. Translocaciones.,0,2018
116. ¿Cuántas cromátidas hermanas presenta cada uno de los cromosomas de una célula humana?:,1. 1 cromática si está en el fase G2.,2. 2 cromátidas si está en fase G1.,3. 1 cromátida si está en metafase meiótica.,4. 1 cromátida si está en la fase G1.,4,2018
117. La intercinesis ocurre:,1. Justo antes de comenzar la mitosis.,2. Entre la meiosis I y la meiosis II.,3. En la fase intermedia de la anafase I.,4. Entre la mitosis y la meiosis.,2,2018
118. Una microdeleción en el brazo largo del cromosoma 7 causa el síndrome de:,1. Williams.,2. Angelman.,3. Smith-Magenis.,4. Bloom.,1,2018
119. Cerca del telómero del brazo corto del cromosoma 3 se sitúa la región:,1. 1p3.,2. 3p12.,3. 3p26.,4. 5q3.,3,2018
120. NO permite detectar una mutación monogénica:,1. FISH.,2. Micromatrices de SNP.,3. Secuenciación Sanger del ADN.,4. Secuenciación del genoma completo.,0,2018
121. ¿Cuál de los siguientes cromosomas NO encontramos en el cariotipo humano normal?:,1. Metacéntricos.,2. Submetacéntricos.,3. Acrocéntricos.,4. Telocéntricos.,4,2018
122. Fase del ciclo celular en que se expresan las histonas:,1. G1.,2. S.,3. G2.,4. M.,0,2018
123. El ARN mensajero maduro se forma tras:,1. La eliminación de exones y empalme de intrones en el núcleo.,2. La eliminación de exones y empalme de intrones en el citoplasma.,3. La eliminación de intrones y empalme de exones.,4. El procesado y maduración del pre-ARN mensajero en el citoplasma.,3,2018
124. En eucariotas los fragmentos de Okazaki presenta un número medio de nucleótidos entre:,1. 10 y 20.,2. 100 y 200.,3. 1.000 y 2.000.,4. 10.000 y 20.000.,2,2018
125. Mutaciones en genes supresores de tumores y protooncogenes aparecen:,1. Tanto en línea germinal como en línea somática.,2. Sólo en línea somática.,3. Sólo en línea germinal.,4. Solo en células del sistema inmune.,1,2018
126. ¿Qué genes son hemicigóticos en humanos?:,1. Todos los genes en cromosomas autosómicos.,2. Genes ligados al cromosoma X en mujeres.,3. Genes ligados al cromosoma X en hombres.,4. Todos los genes en cromosomas sexuales.,3,2018
127. El mosaicismo consiste en la presencia de dos o más:,1. Poblaciones de células con distinto genotipo en un mismo individuo.,2. Mutaciones en un mismo gen de todas las células de un individuo.,3. Genes mutados en todas las células de un mismo individuo.,4. Cromosomas con alteraciones estructurales en todas las células de un mismo individuo.,1,2018
128. ¿Cuántos fenotipos distintos se esperan en la descendencia obtenida a partir del cruzamiento entre dos individuos heterocigóticos para dos loci entre los que existe una epistasia simple recesiva?:,1. 1.,2. 2.,3. 3.,4. 4.,3,2018
129. La enfermedad de Tay-Sachs es una enfermedad de herencia:,1. Autosómica recesiva.,2. Autosómica dominante.,3. Recesiva ligada al cromosoma X.,4. Mitocondrial.,1,2018
"130. El porcentaje de individuos de un genotipo particular que expresan el fenotipo asociado, se denomina:",1. Expresividad.,2. Penetrancia.,3. Incidencia.,4. Dominancia completa.,2,2018
"131. En el cruzamiento entre una mujer con visión normal para los colores, pero cuya madre era daltónica, y un varón que tiene daltonismo ¿Cuál es la probabilidad de que el primer hijo, que es varón, sea daltónico?:",1. 1.,2. 0.,3. ½.,4. ¼.,3,2018
"132. El fenómeno en que el sexo del progenitor que transmite el alelo determina su expresión, se denomina:",1. Herencia influenciada por el sexo.,2. Herencia ligada al sexo.,3. Pseudodominancia.,4. Impronta.,4,2018
"133. En humanos, son compatibles con la vida las aneuploidias para los cromosomas:",1. 21.,2. 21 y 14.,"3. 21, 13 y 18.",4. 21 y 18.,3,2018
"134. En una población en equilibrio de Hardy Weinberg para cierto locus, los apareamientos entre individuos se producen:",1. Siempre entre los que tienen el mismo genotipo.,2. En función de la eficacia biológica.,3. Siempre entre los que tiene distinto genotipo.,4. Al azar.,4,2018
"135. Para un carácter cuantitativo, un valor alto de heredabilidad en sentido amplio (H2>0,85) indica que:",1. La variación fenotípica del carácter es debida principalmente a diferencias genotípicas entre individuos.,2. La variación fenotípica del carácter es debida principalmente a diferencias ambientales.,3. Tanto el genotipo como el ambiente influyen a partes iguales en la variación fenotípica.,"4. Hay un error en la estimación, ya que la heredabilidad tiene un valor máximo de 0,5.",1,2018
136. El gen pax6 tiene una secuencia que codifica un homeodominio y su producto es:,1. Un factor de transcripción.,2. Un factor de iniciación de la traducción.,3. Un factor de terminación de la traducción.,"4. Un RNA  de cadena larga, no codificante.",1,2018
137. ¿Qué término se utiliza para un cromosoma en el que un brazo es delecionado y sustituido por la imagen especular del otro brazo?:,1. Translocación Robertsoniana.,2. Cromosoma Philadelphia.,3. Translocación recíproca.,4. Isocromosoma.,4,2018
138. ¿Con qué tipo de defecto del sistema de reparación del DNA se asocia el trastorno xeroderma pigmentosum?:,1. Reparación de bases desapareadas.,2. Reparación por escisión de nucleótidos.,3. Reparación por escisión de bases.,4. Recombinación homóloga.,2,2018
139. ¿Cuál de las siguientes afirmaciones es verdadera?:,"1. A lo largo de todo el desarrollo embrionario, en las células se inactiva indistintamente el cromosoma X paterno o materno.",2. La impronta génica materna de un locus significa que sólo las mujeres tendrán ese locus reprimido.,3. El patrón de metilación de una región improntada es diferente en el cromosoma paterno que en el materno.,4. La transcripción del gen XIST ocurre en el cromosoma X que no será inactivado.,3,2018
